Month,Day,Hour,Minute,Wind Speed,Relative Humidity,Temperature,Pressure
5,3,6,0,5.06,70,-7.86,1035
5,3,7,0,5.25,69,-7.96,1035
5,3,8,0,5.62,66,-7.72,1035
5,3,9,0,6.09,63,-7.27,1035
5,3,10,0,6.32,61,-6.67,1035
5,3,11,0,6.75,56,-6.23,1035
5,3,12,0,7.05,55,-5.58,1035
5,3,13,0,7.8,54,-5.15,1035
5,3,14,0,8.93,55,-4.86,1034
5,3,15,0,9.61,55,-4.8,1034
5,3,16,0,10.22,57,-4.61,1034
5,3,17,0,10.62,58,-4.55,1034
5,3,18,0,10.48,59,-4.54,1034
5,3,19,0,10.24,60,-4.5,1034
5,3,20,0,10.24,60,-4.56,1034
5,3,21,0,9.99,61,-4.83,1033
5,3,22,0,9.55,61,-5.23,1033
5,3,23,0,9.15,60,-5.65,1033
5,4,0,0,8.66,61,-5.96,1033
5,4,1,0,8.41,63,-6.29,1032
5,4,2,0,9.24,65,-6.68,1032
5,4,3,0,9.8,67,-7.21,1032
5,4,4,0,8.87,65,-8.08,1031
5,4,5,0,8.79,63,-8.22,1031
5,4,6,0,8.91,64,-8.26,1030
5,4,7,0,9.15,62,-7.97,1030
5,4,8,0,9.66,60,-7.5,1030
5,4,9,0,9.86,59,-7.23,1029
5,4,10,0,9.81,58,-6.79,1028
5,4,11,0,10.62,58,-6.36,1028
5,4,12,0,10.89,58,-6.12,1027
5,4,13,0,10.71,57,-5.83,1026
5,4,14,0,10.31,58,-5.6,1025
5,4,15,0,9.79,59,-5.34,1025
5,4,16,0,9.4,59,-5.04,1024
5,4,17,0,9.23,60,-4.83,1023
5,4,18,0,8.49,62,-4.52,1023
5,4,19,0,7.95,63,-4.42,1022
5,4,20,0,7.66,64,-4.43,1021
5,4,21,0,7.79,65,-4.63,1021
