hour,day_of_week,month,feels_like,humidity
0,4,5,-10.08,55
1,4,5,-11.02,59
2,4,5,-12.3,63
3,4,5,-13.73,68
4,4,5,-14.22,69
5,4,5,-14.56,70
6,4,5,-14.79,70
7,4,5,-14.96,69
8,4,5,-14.72,66
9,4,5,-14.27,63
10,4,5,-13.67,61
11,4,5,-13.23,56
12,4,5,-12.58,55
13,4,5,-12.15,54
14,4,5,-11.86,55
15,4,5,-11.8,55
16,4,5,-11.61,57
17,4,5,-11.55,58
18,4,5,-11.54,59
19,4,5,-11.5,60
20,4,5,-11.56,60
21,4,5,-11.83,61
22,4,5,-12.23,61
23,4,5,-12.65,60
0,5,5,-12.96,61
1,5,5,-13.29,63
2,5,5,-13.68,65
3,5,5,-14.21,67
4,5,5,-15.08,65
5,5,5,-15.22,63
6,5,5,-15.26,64
7,5,5,-14.97,62
8,5,5,-14.5,60
9,5,5,-14.23,59
10,5,5,-13.79,58
11,5,5,-13.36,58
12,5,5,-13.12,58
13,5,5,-12.83,57
14,5,5,-12.6,58
15,5,5,-12.34,59
16,5,5,-12.04,59
17,5,5,-11.83,60
18,5,5,-11.52,62
19,5,5,-11.42,63
20,5,5,-11.43,64
21,5,5,-11.63,65
