Month,Day,Hour,Minute,Wind Speed,Relative Humidity,Temperature,Pressure
5,3,0,0,1.86,36,30.55,1005
5,3,1,0,0.63,38,29.79,1005
5,3,2,0,1.19,39,29.03,1005
5,3,3,0,1.92,38,28.66,1004
5,3,4,0,2.2,38,28.35,1004
5,3,5,0,3.05,39,27.73,1004
5,3,6,0,3.26,43,26.61,1005
5,3,7,0,3.3,46,26.23,1006
5,3,8,0,4.28,42,28.59,1006
5,3,9,0,3.39,38,31.1,1006
5,3,10,0,2.34,35,33.64,1007
5,3,11,0,2.08,31,36.3,1007
5,3,12,0,1.48,26,39.39,1006
5,3,13,0,1.77,22,41.28,1005
5,3,14,0,2.31,19,42.68,1004
5,3,15,0,2.52,15,43.7,1002
5,3,16,0,3.64,14,44.16,1001
5,3,17,0,6.07,16,43.09,1001
5,3,18,0,6.52,20,40.28,1001
5,3,19,0,5.3,22,38.66,1001
5,3,20,0,4.8,33,33.62,1002
5,3,21,0,4.96,30,33.3,1004
5,3,22,0,5.59,29,32.6,1004
5,3,23,0,5.21,36,30.8,1005
5,4,0,0,5.24,44,29.5,1006
5,4,1,0,5.47,51,29.06,1006
5,4,2,0,3.92,46,29.31,1006
5,4,3,0,3.83,43,28.46,1005
5,4,4,0,3.29,44,27.43,1005
5,4,5,0,2.59,48,26.33,1005
5,4,6,0,2.16,50,25.64,1006
5,4,7,0,2.84,53,25.29,1007
5,4,8,0,3.77,47,27.6,1008
5,4,9,0,3.12,41,30.32,1008
5,4,10,0,1.84,37,33.17,1009
5,4,11,0,2.25,33,35.63,1008
5,4,12,0,2.07,28,38.4,1007
5,4,13,0,2.79,23,40.27,1006
5,4,14,0,3.73,19,41.88,1005
5,4,15,0,3.98,16,43.17,1003
5,4,16,0,4.48,14,43.72,1002
5,4,17,0,5.7,16,42.55,1002
5,4,18,0,5.42,20,40.13,1002
